"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"ANTONIA LUCILEIA CRUZ RAMOS CAMARA","ANTONIA LUCIA",8,1
"DEODATO NUNES DE FRANCA","CORONEL DEODATO",8,1
"EDILBERTO AFONSO DE MORAES JUNIOR","JUNIOR BETÃO",7,1
"EDSON FIRMINO DE PAULA","EDSON DE PAULA",7,1
"ELISABETH APARECIDA GARCIA RODRIGUES","BETH BOCALOM",8,1
"FERNANDO MELO DA COSTA","FERNANDO MELO",8,1
"FLAVIANO FLAVIO BAPTISTA DE MELO","FLAVIANO MELO",8,1
"FRANCISCO ALVES VIEIRA","SGTO VIEIRA",8,1
"FRANCISCO CARLOS DE OLIVEIRA DE LIMA","CHICARLOS",6,1
"FRANCISCO JOSE BENICIO DIAS","BENICIO DIAS",7,1
"FRANCISCO RODSON DOS SANTOS SOUZA","PASTOR RODSON",8,1
"GEHLEN DINIZ ANDRADE","GEHLEN DINIZ",8,1
"GILSON GOMES DE OLIVEIRA","GILSON GOMES",8,1
"GLADSON DE LIMA CAMELI","GLADSON CAMELI",8,1
"HAROLDO ONOFRE DE ANDRADE E SILVA","HAROLDO",6,1
"HENRIQUE AFONSO SOARES LIMA","HENRIQUE AFONSO",8,1
"IDESIO LUIS FRANKE","IDESIO",8,1
"JAIRO CASSIANO BARBOSA","JAIRO CASSIANO",6,1
"JOSE ALVES DE MORAES","ZEZINHO",4,1
"LEONARDO CUNHA DE BRITO","LEO DO PT",8,1
"MANOEL PEREIRA DE FREITAS","MANOEL DA BANHA",4,1
"MARCIO MIGUEL BITTAR","MARCIO BITTAR",6,1
"MARCOS ANTONIO SILVA TORRES","MARCOS TORRES",8,1
"MARIA DA ROCHA SEVERO","MARIA SEVERO",7,1
"MARIA PERPETUA DE ALMEIDA","PERPÉTUA ALMEIDA",7,1
"MARIA ZILA FROTA BEZERRA DE OLIVEIRA","ZILA BEZERRA",8,1
"MARIUSA DE CARVALHO","MARIUSA",8,1
"MAURICIO DINIZ LIMA","MAURICIO DINIZ",6,1
"MIGUEL ARCANJO DE SOUZA CARNEIRO","MIGUEL CARNEIRO",6,1
"RAIMUNDO NONATO DE CASTRO","DRRAIMUNDO CASTRO",8,1
"SEBASTIAO SIBA MACHADO OLIVEIRA","SIBA MACHADO",8,1
"SIDNEY DIAS DE OLIVEIRA","PROFESSOR SIDNEY",8,1
"SOLANGE MARIA PINHO PASCOAL","SOLANGE PASCOAL",8,1
"SOZA MARIA ALMEIDA DO NASCIMENTO","SOZA NASCIMENTO",6,1
"UAGLA BELMONT ALVES","SGT BELMONT",6,1
"VALDEMIR JANUARIO DE ALMEIDA","BRANCO DO CALAFATE",7,1
"ADA MERCEDES DE MELLO MARQUES LUZ","ADA MELLO",8,1
"ALDO ALEXANDRE TAVARES DA SILVA","ALDO TAVARES",3,1
"ALEXANDRE DE MELO TOLEDO","ALEXANDRE TOLEDO",8,1
"ANTONIO CARLOS RAMOS","CHAMARIZ",8,1
"ARANILDO DE VASCONCELOS ELISIARIO","ELISIÁRIO",6,1
"ARTHUR CESAR PEREIRA DE LIRA","ARTHUR LIRA",8,1
"CELIA MARIA BARBOSA ROCHA","CELIA ROCHA",8,1
"CLAUDIA ANICETO CAETANO PETUBA","CLAUDIA PETUBA",7,1
"DAMASCO SILVA MEDEIROS","DAMASCO MEDEIROS",8,1
"DANIEL FERREIRA DE OLIVEIRA","DANIEL",3,1
"DANIELA DOS SANTOS ARAUJO","DANIELA PAGÃO",6,1
"DIOGENES TENORIO DE ALBUQUERQUE FILHO","DIÓGENES DA RECEITA",7,1
"EDIMILTON JUNIO DA SILVA","JUNIO VAGA-LUME",6,1
"ELIAS BARROS DIAS","ELIAS BARROS",8,1
"FABIO RANGEL NUNES DE OLIVEIRA","FÁBIO AURÉLIO",8,1
"FERNANDO JOSE REZENDE DE BARROS","FERNANDO REZENDE",8,1
"GENALDO GAMA DOS SANTOS","GENALDO GAMA",2,1
"GILBERTO COUTINHO FREIRE","GILBERTO COUTINHO",8,1
"GIVALDO DE SA GOUVEIA","GIVALDO CARIMBÃO",4,1
"HENRIQUETA EVA CARDEAL","HENRIQUETA CARDEAL",8,1
"IVAN GALDINO DA SILVA","BISPO GALDINO",4,1
"JAFET RODRIGUES DOS SANTOS","JAFET",7,1
"JAMISON RODRIGUES DA SILVA","JAMINHO",8,1
"JOAQUIM BELTRAO SIQUEIRA","JOAQUIM BELTRÃO",8,1
"JORGE VI LAMENHA LINS","JORGE VI",8,1
"JOSEFA AMORIM DE BARROS","JOSEFA AMORIM",8,1
"JOSENILDO TENORIO DA SILVA","JHÔW MACLAREN",6,1
"JOSE FRANCISCO CERQUEIRA TENORIO","FRANCISCO TENÓRIO",8,1
"JOSE JADSON ALVES DE MELO","JOSÉ JADSON",6,1
"JOSE JOAQUIM BARROS VIEIRA SANDES","JOAQUIM SANDES",8,1
"JOSE MARINHO MUNIZ FALCAO","ZÉ MUNIZ",8,1
"JOSE PINTO DE LUNA","PINTO DE LUNA",8,1
"JOSE RENAN VASCONCELOS CALHEIROS FILHO","RENAN FILHO",8,1
"JOAO CALDAS DA SILVA","JOÃO CALDAS",8,1
"JOAO JOSE PEREIRA DE LYRA","JOÃO LYRA",8,1
"JOAO MENDES DA SILVA","JOÃO MENDES",8,1
"JOAO SERGIO OLIVEIRA PEREIRA","JOÃO SÉRGIO",6,1
"JURANDIR BOIA ROCHA","JURANDIR BOIA",8,1
"MARCELO ZACARIAS DE OLIVEIRA","MARCELO ZACARIAS (SAPÃO)",6,1
"MARCIO FERNANDO LESSA MAGALHAES","MARCIO LESSA",8,1
"MARIA INEZ SANTOS","MARIA INEZ",8,1
"OSVANILTON ADELINO DE OLIVEIRA","OSVANILTON",8,1
"PAULO FERNANDO DOS SANTOS","PAULÃO",6,1
"RICARDO GOMES LOURENCO","RICARDO DE JESUS",6,1
"ROSEANE CAVALCANTE DE FREITAS","ROSINHA DA ADEFAL",8,1
"RUI SOARES PALMEIRA","RUI PALMEIRA",8,1
"SIDNEY FERREIRA DE OLIVEIRA","SID",6,1
"VANDEVAL ALVES DE LIMA","PROFESSOR VANDEVAL",8,1
"VERALDINO APOLINARIO DOS SANTOS","DINO",8,1
"WELLINGTON RODRIGUES FRAGOSO","MAJOR FRAGOSO",8,1
"ALEXANDRE DIAS BARBOSA","ALEX DIAS",8,1
"ALTANIRA U ALMEIDA OLIVEIRA","DRA ALTANIRA UCHOA",8,1
"ANA MARIA DOS SANTOS DE BRITO","ANINHA",8,1
"ANTONIO BISMAR DE LIMA CUNHA","MAZINHO",6,1
"ATILA SIDNEY LINS DE ALBUQUERQUE","ÁTILA LINS",8,1
"CARLOS ALBERTO CAVALCANTE DE SOUZA","CARLOS SOUZA",8,1
"CARLOS ALEXANDRE FERREIRA SILVA","ALEXANDRE DA CARBRÁS",8,1
"DARCY HUMBERTO MICHILES","HUMBERTO MICHILES",7,1
"DARLENE PEREIRA NEVES","DAS NEVES",7,1
"ERONILDO BRAGA BEZERRA","ERON BEZERRA",8,1
"FRANCISCO EDINALDO PRACIANO","PRACIANO",8,1
"FRANCISCO PLINIO VALERIO TOMAZ","PLÍNIO VALÉRIO",8,1
"HOSANNAH SOUZA DE ALENCAR","HOSANNAH.ALENCAR",8,1
"JAMILY MARIA DE SOUZA AYRES","JAMILY AYRES",3,1
"JOSE HENRIQUE OLIVEIRA","HENRIQUE OLIVEIRA",6,1
"JOSE SADIO JACMINUTH DE ALCANTARA","PR. JOSÉ SÁDIO",8,1
"LUIZ FERNANDO SARMENTO NICOLAU","DR. LUIZ FERNANDO",8,1
"MARCEL ALEXANDRE DA SILVA","MARCEL ALEXANDRE",8,1
"MARCELO AUGUSTO DA EIRA CORREA","MARCELO SERAFIM",8,1
"MARIA CLEIDE VIEIRA DA CUNHA SILVA","MARIA CLEIDE",8,1
"MARIA SOLANGE DE SOUZA QUEIROZ","SOLANGE QUEIROZ",8,1
"MASSAMI MIKI","MASSAMI MIKI",8,1
"NAAHBILA MOREIRA DOS SANTOS","NAAHBILA SANTOS",7,1
"NOEMIA FERNANDES LEITE","NOEMIA FERNANDES",8,1
"PAUDERNEY TOMAZ AVELINO","PAUDERNEY",8,1
"PAULO CARLOS DE CARLI","PAULO DE CARLI",8,1
"PAULO HERBAN MACIEL JACOB FILHO","PAULO MACIEL",8,1
"RAIMUNDO SANTOS DA SILVA","RAIMUNDO SANTOS",4,1
"REBECCA MARTINS GARCIA","REBECCA GARCIA",8,1
"ROBERTO CARLOS RIBEIRO PEREIRA","ROBERTO CARLOS",6,1
"SILAS CAMARA","SILAS CAMARA",8,1
"SIMONE DE ABREU DIAS","SIMONE",8,1
"VICTOR MONTEIRO LITAIFF","VICTOR LITAIFF",8,1
"ALLAN ROSAS SALES","ALLAN SALES",8,1
"ALUIZO ROBERTO CAVALCANTE DA SILVA","ALUIZO MUNGUBA",6,1
"AMADEU FERREIRA DOS SANTOS","AMADEU",4,1
"AMARILDO PORTO ARAUJO","AMARILDO PORTO",4,1
"ANDRE DOS SANTOS ABDON","ANDRÉ",8,1
"ANTONIO CARLOS DINIZ","AC DINIZ",6,1
"ANTONIO CIRILO FERNANDES BORGES","CIRILO BORGES",8,1
"ANTONIO DA JUSTA FEIJAO","FEIJÃO",8,1
"ANTONIO DE DEUS NUNES DOS SANTOS","GRILO",8,1
"BARAQUE FAGUNDES DA SILVA","BARAQUE",6,1
"BIRANILSON DOS SANTOS PALMEIRA","PROF BIRA",8,1
"CAMILO OLIVEIRA DE SOUZA","CAMILO TRAJANO",6,1
"CARLOS ANTONIO OLIVEIRA SANTOS","PASTOR OLIVEIRA",6,1
"CLEYDSON SOUSA DO NASCIMENTO","CLEYDSON NASCIMENTO",6,1
"CONCEICAO CORREA MEDEIROS","CONCEIÇÃO MEDEIROS",8,1
"DANIEL DOMINGOS DOS SANTOS","DANIEL JARI",7,1
"DARLEY DOS SANTOS TEIXEIRA FURTADO","LEY",6,1
"DAVID SAMUEL ALCOLUMBRE TOBELEM","DAVI ALCOLUMBRE",7,1
"DOMINGOS SAVIO DE SOUZA GUERREIRO","DR SAVIO GUERREIRO",8,1
"EDILSON VIERA ROCHA","ROCHA DO SUCATAO",6,1
"EDMAR RODRIGUES DA SILVA","EDMAR",6,1
"EDNILSON MIRA DOS SANTOS","MIRA",8,1
"EDUARDO SEABRA DA COSTA","EDUARDO SEABRA",8,1
"EDVALDO DE AZEVEDO SOUZA","MERÉ",8,1
"ELCIO JOSE DE SOUZA FERREIRA","ELCIO FERREIRA",8,1
"ELIANE GONCALVES","ELIANE",8,1
"EVANDRO COSTA GAMA","EVANDRO GAMA",8,1
"EVANDRO COSTA MILHOMEM","EVANDRO MILHOMEM",8,1
"FATIMA LUCIA PELAES","FATIMA PELAES",8,1
"GERSON RANGEL DOS PASSOS","RANGEL",6,1
"GIOVANNI TAVARES MACIEL FILHO","CORONEL GIOVANNI",8,1
"HILDEMAR SOUZA DE AZEVEDO PICANCO","BADU PICANÇO",8,1
"IRACIARA SANTOS DE ARAUJO","IRACIARA",8,1
"JACKSON CARDOSO AMARAL","JACKSON AMARAL",6,1
"JANETE MARIA GOES CAPIBERIBE","JANETE CAPIBERIBE",7,1
"JEFFERSON PRADO FASSI","JEFFERSON PRADO",6,1
"JOEVA DOS REIS SILVA","JOEVA REIS",8,1
"JORGE FURTADO CORREA","CORONEL CORRÊA",8,1
"JOSUE BATISTA DA COSTA","JOSUÉ MANIVA",2,1
"JUCERGIO MONTEIRO BENATHAR","CUTIA",6,1
"JURANDIL DOS SANTOS JUAREZ","JURANDIL JUAREZ",8,1
"JUREMA IERECE NASCIMENTO COSTA","JUREMA",8,1
"LACIMIR DE FREITAS ANDRADE","LACIMIR ANDRADE",6,1
"LUCIANO DOS SANTOS CARVALHO","LUCIANO DIAS",6,1
"LUIZ ANTONIO FERREIRA MARANHAO","LUIZ ANTONIO",6,1
"LUZIA BRITO GRUNHO","LUZIA (TIA LÚ)",7,1
"MANOEL CARVALHO","BACURAL",6,1
"MARCELO SARRAF SANTOS","MARCELO SARRAF",5,1
"MARCIVANIA DO SOCORRO DA ROCHA FLEXA","PROF MARCIVANIA",8,1
"MARIA CASSILDA BARRETO DE SOUZA","PESQUISADORA CASSILDA",8,1
"MARIA DALVA DE SOUZA FIGUEIREDO","PROFESSORA DALVA",8,1
"MARIA LUCENIRA FERREIRA OLIVEIRA PIMENTEL","LUCENIRA PIMENTEL",6,1
"MARIA SOCORRO DA COSTA CONCEICAO","SOCORRO DO INSS",7,1
"MIRAELSON COUTINHO TEIXEIRA ALVES","MIRAELSON COUTINHO",8,1
"NAZARENA SANTOS ALMEIDA","NAZA ALMEIDA",6,1
"NELIO PEREIRA MARINHO","NELIO MARINHO",8,1
"NEVES MARIA MACHADO","NECA MACHADO",8,1
"NILTON LUIZ CABRAL TORK","CABRAL TORK",6,1
"REGILENE GURGEL MENEZES REATEGUI","REGILENE",8,1
"RICARDO SOUZA OLIVEIRA","RICARDO OLIVEIRA",8,1
"ROSANGELA FERREIRA ARAGAO","ROSANGELA DO CONCEIÇÃO",6,1
"ROSENILDA COSTA SECCU","ROSA SECCU",8,1
"RUSSYERIANE SILVA DE LIMA","RUSSY",6,1
"SEBASTIAO NELSON SILVA DE SOUZA","NELSON SOUZA",8,1
"SILVINO ABRANTES ALMEIDA","CARIOCA",8,1
"VALCINETE FARIAS SANTANA","PROF. VAL",8,1
"VALDENOR GUEDES SOARES","VALDENOR GUEDES",8,1
"VINICIUS DE AZEVEDO GURGEL","VINICIUS",8,1
"WALCYR ALBERTO COSTA SANTOS","CORONEL WALCYR",8,1
"XAVIER LEAL SIQUEIRA","TENENTE XAVIER",6,1
"ACELINO FREITAS","POPÓ",7,1
"ADALBERTO SOUZA GALVAO","BEBETO",7,1
"AFONSO BANDEIRA FLORENCE","AFONSO",8,1
"AGENOR RIBEIRO DE JESUS FILHO","AGENOR RIBEIRO",8,1
"ALICE MAZZUCO PORTUGAL","ALICE PORTUGAL",8,1
"ALMIRO AURORA DA SILVA","MIRO",2,1
"AMARO PINTO SILVA JUNIOR","AMARO JÚNIOR",8,1
"ANDERSON DOS SANTOS CARVALHAL","ANDERSON CARVALHAL",6,1
"ANTONIA MAGALHAES DA CRUZ","TONHA MAGALHAES",6,1
"ANTONIO ALBINO LEAL DA SILVA","ANTONIO ALBINO",7,1
"ANTONIO BARRETO DOS SANTOS","LIU",4,1
"ANTONIO BATISTA SANTOS","ANTONIO BATISTA",6,1
"ANTONIO CARLOS BORGES DOS SANTOS JUNIOR","ANTONIO BORGES JUNIOR",8,1
"ANTONIO CARLOS BOSCO MASSAROLLO","MASSAROLLO",6,1
"ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO","ACM NETO",8,1
"ANTONIO CARLOS SILVA SANTOS","BOMBA",6,1
"ANTONIO DOS SANTOS PEDREIRA","ANTONIO PEDREIRA",8,1
"ANTONIO FERNANDO LAGO REIS","FALCAO",6,1
"ANTONIO JAQUES COSTA DOS REIS","ANTONIO JAQUES",5,1
"ANTONIO JORGE RIBEIRO DE SANTANA","CORONEL SANTANA",8,1
