"numLegislatura","ideCadastro","Nome Parlamentar","Nome","dataNascimento","sexo","partidoAtual","ufRepresentacaoAtual","nomeProfissao","email"
"52","73764","ABELARDO LUPION","ABELARDO LUIZ LUPION MELLO","25/08/1952","M","DEM","PR","Agropecuarista e Empresário","dep.abelardolupion@camara.gov.br"
"52","73886","ADAO PRETTO","ADAO PRETTO","18/12/1945","M","PT","RS","Agricultor","dep.adaopretto@camara.gov.br"
"52","74328","ADAUTO PEREIRA","ADAUTO PEREIRA DE LIMA","04/06/1935","M","DEM","PB","Agropecuarista e Industrial","dep.adautopereira@camara.gov.br"
"52","74386","ADELOR VIEIRA","ADELOR FRANCISCO VIEIRA","07/01/1947","M","PMDB","SC","Professor e Securitário.","dep.adelorvieira@camara.gov.br"
"52","133374","ADEMIR CAMILO","ADEMIR CAMILO PRATES RODRIGUES","30/05/1964","M","PDT","MG","Médico, Advogado","dep.ademircamilo@camara.gov.br"
"52","73765","AFFONSO CAMARGO","AFFONSO ALVES DE CAMARGO NETO","30/04/1929","M","PSDB","PR","Engenheiro Civil","dep.affonsocamargo@camara.gov.br"
"52","74035","PROMOTOR AFONSO GIL","AFONSO GIL CASTELO BRANCO","26/01/1951","M","PDT","PI","SERVIDOR PUBLICO ESTADUAL","dep.promotorafonsogil@camara.gov.br"
"52","74358","AGNALDO MUNIZ","AGNALDO MUNIZ","31/08/1970","M","PP","RO","Advogado","dep.agnaldomuniz@camara.gov.br"
"52","73654","AGNELO QUEIROZ","AGNELO SANTOS QUEIROZ FILHO","09/11/1958","M","PCdoB","DF","Médico","dep.agneloqueiroz@camara.gov.br"
"52","73457","AIRTON ROVEDA","AIRTON BERNARDO ROVEDA","14/02/1948","M","PPS","PR","Minerador, Comerciante e Pecuarista","dep.airtonroveda@camara.gov.br"
"52","74018","ALBERICO FILHO","ALBERICO DE FRANCA FERREIRA FILHO","10/04/1950","M","PMDB","MA","Servidor Público","dep.albericofilho@camara.gov.br"
"52","73427","ALBERTO GOLDMAN","ALBERTO GOLDMAN","12/10/1937","M","PSDB","SP","Engenheiro Civil","dep.albertogoldman@camara.gov.br"
"52","73979","ALCESTE ALMEIDA","ALCESTE MADEIRA DE ALMEIDA","22/03/1944","M","PTB","RR","Médico","dep.alcestealmeida@camara.gov.br"
"52","73477","ALCEU COLLARES","ALCEU DE DEUS COLLARES","12/09/1927","M","PDT","RS","Advogado","dep.alceucollares@camara.gov.br"
"52","74828","ALDIR CABRAL","ALDIR CABRAL DE ARAUJO","12/03/1948","M","DEM","RJ","Servidor Público e Advogado","dep.aldircabral@camara.gov.br"
"52","73458","ALEX CANZIANI","ALEX CANZIANI SILVEIRA","11/06/1964","M","PTB","PR","Registrador de Imóveis","dep.alexcanziani@camara.gov.br"
